Word	Myanmar (Burmese)-my	Valence	Arousal	Dominance
allied	မဟာမိတျဖှဲ့ထားသော	0.714	0.245	0.642
alligator	မိကြောငျးမြိုး	0.354	0.704	0.645
allocate	နေရာချထား	0.673	0.462	0.672
allocation	နေရာချထားခြင်း	0.604	0.388	0.679
allot	ဝခှေဲခထြား	0.622	0.481	0.616
allotment	ဝခှေဲခထြားခွငျး	0.600	0.390	0.640
allow	ခွင့်ပြု	0.698	0.429	0.538
allowable	အိုင်အိုဒင်း	0.698	0.500	0.561
allowance	အခွင့်	0.673	0.382	0.591
allowed	ခွင့်ပြု	0.730	0.360	0.655
alloy	ရောစပ်	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	သှေးဆောငျ	0.804	0.585	0.686
alluring	သှေးဆောငျ	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	မဟာမိတ်	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	တန်ခိုးအနန္တရှိသော	0.938	0.874	0.958
almond	ဗာဒမ်းသီး	0.698	0.183	0.314
aloft	ဒို့အရေး	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	တယောက်တည်း	0.333	0.167	0.216
alongside	အတူ	0.458	0.333	0.347
aloof	စေသော	0.189	0.423	0.302
aloud	အသံကျယ်စွာ	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	အက်ခရာ	0.562	0.204	0.672
alphabetical	အက္ဏရာအစဉ်အလိုက်ဖြစ်သော	0.537	0.296	0.535
alpine	အယ်လ်ပိုင်း	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	ယဇ်ပလ္လင်	0.724	0.387	0.635
altar boy	ယဇ်ပလ္လင်ကိုကောင်လေး	0.434	0.206	0.350
alter	ပွောငျးလှဲ	0.333	0.694	0.654
alteration	ပွောငျးလှဲခွငျး	0.167	0.798	0.609
altercation	ခိုက်ရန်ဖြစ်ပွါးမှုကို	0.170	0.806	0.500
altered	ပြောင်းလဲ	0.255	0.765	0.500
alternate	တကြိမ်စီဖြစ်သော	0.625	0.363	0.589
alternating	alternative	0.480	0.494	0.542
alternative	အခြားရွေးချယ်စရာ	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	အမြင့်	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	စုပေါင်း.	0.833	0.324	0.644
aluminum	လူမီနီယံ	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	စပ်	0.438	0.333	0.510
amalgamation	စုစည်း	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	ထိုညီအစ်ကို	0.552	0.465	0.465
amateur	ဝါသနာရှိသူ	0.469	0.500	0.409
amaze	အလွန်အံ့သြစေ	0.896	0.843	0.783
amazed	မိန်းမောတွေဝေ	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	အလွန်အံ့သြစေမှု	0.750	0.800	0.639
amazing	အံ့သြဖွယ်	0.906	0.837	0.849
amazingly	အံ့သြလောက်အောင်	0.918	0.765	0.920
ambassador	သံအမတ်ကြီး	0.651	0.529	0.917
amber	ပယင်း	0.635	0.308	0.369
ambience	ဆန်တဲ့ပတ်ဝန်းကျင်ကို	0.735	0.356	0.426
ambient	ပတ်ဝန်းကျင်	0.625	0.360	0.582
ambiguity	ရှုတ်ထွေး	0.164	0.460	0.370
ambiguous	စိတ်မကောင်းစရာဝေဝါး	0.265	0.462	0.358
ambit	ရည်မှန်းချက်	0.479	0.380	0.386
ambition	ကြီးသောအာသီသ	0.510	0.804	0.661
ambitious	ဆန္ဒကြီးမားသော	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ရှေ့ဉီးသူနာပွုကား	0.500	0.750	0.609
ambush	တပ်ပုန်းထား	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	အာမ	0.781	0.182	0.542
amenable	အာမင်	0.448	0.410	0.406
amend	ပြုပြင်သည်	0.688	0.406	0.658
amendment	ပြင်ပြုချက်	0.531	0.459	0.606
amends	ဖျောင်းဖျ	0.640	0.366	0.517
amenity	အာမင်	0.750	0.327	0.574
amethyst	နီလာခရမ်းရောင်	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	ချစ်ကြည်ရင်းနှီးသော	0.875	0.330	0.507
amid	ကြားတွင်	0.510	0.340	0.256
amidst	နေရခြင်း	0.480	0.330	0.316
amino	အမိုင်နို	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ဇဝက်သာ	0.292	0.587	0.409
ammonium	Ammonium	0.354	0.396	0.368
ammunition	ခဲယမျးမိကြောကျ	0.338	0.635	0.667
amnesia	သတိမေ့ခြင်း	0.296	0.330	0.308
amnesty	ချမ်းသာပေးခြင်း	0.551	0.451	0.814
amorous	Amore	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	ငွေပမာဏ	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	အမ်ဖီတမင်း	0.133	0.667	0.526
amphibian	ကုနျးနေရေနေ	0.427	0.357	0.474
amphibious	ကုန်းရေ	0.479	0.346	0.445
amphitheater	ပွဲကြည့်စင်	0.653	0.480	0.545
ample	လုံလောက်သော	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	ကျယ်ဝန်းလာစေ	0.677	0.735	0.827
amplitude	လွှဲခွင်	0.694	0.439	0.692
amply	ရှိရှိကွှေးကျွော	0.781	0.431	0.766
amputate	ဖြတ်တောက်	0.092	0.660	0.509
amputation	ဖြတ်တောက်ခြင်း	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	အဆောင်လက်ဖွဲ့	0.781	0.260	0.630
amuse	ရွှင်မြူးစေ	0.812	0.684	0.664
amused	ရွှင်မြူးခြင်း	0.942	0.847	0.596
amusement	ရွှင်မြူးခြင်း	0.929	0.837	0.803
amusing	ရွှင်မြူးစေတတ်သော	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	Anaconda	0.146	0.830	0.540
anaesthesia	မေ့ဆေး	0.350	0.217	0.473
anaesthetic	ထုံဆေး	0.449	0.268	0.509
anagram	ဆန့်ကျင်ဘက်	0.552	0.327	0.449
anal	စအို	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	အလားတူ	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	နှိုင်းယှဉ်မယ်ဆိုရင်	0.510	0.367	0.509
analysis	ခွဲခြမ်းစိတ်ဖြာခြင်း	0.729	0.448	0.705
analyst	လေ့လာဆန်းစစ်သူ	0.604	0.415	0.755
analytic	သရုပ်ခွဲ	0.665	0.521	0.634
analytical	ခွဲခြမ်းစိတ်ဖြာ	0.625	0.324	0.800
analyze	သုံးသပ်ကြည့်ရှု	0.667	0.462	0.710
analyzer	Analyzer	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
anarchism	မင်းမဲ့ဝါဒ	0.125	0.804	0.623
anarchist	မင်းမဲ့စရိုက်	0.204	0.700	0.759
anarchy	မင်းမဲ့ဖြစ်ခြင်း	0.146	0.755	0.620
anastomosis	anastomosis	0.375	0.470	0.490
anathema	ကျိန်ဆဲနိုင်သည်	0.286	0.490	0.519
anatomic	ခန္ဓာဗေဒ	0.562	0.442	0.546
anatomy	ကာယဗေဒ	0.562	0.390	0.571
ancestor	ဘိုးဘွား	0.592	0.388	0.594
ancestral	ဘိုးဘွား	0.640	0.481	0.750
ancestry	ဆှေစဉျမြိုးဆကျ	0.708	0.519	0.717
anchor	ကျောက်ဆူး	0.520	0.284	0.564
anchorage	ကျောက်ချစခန်း	0.500	0.325	0.639
ancient	ရှေးခေတ်	0.420	0.217	0.439
ancillary	အထောက်အပံ့ကိုပေးပြီး	0.449	0.442	0.278
androgen	အန်ဒရိုဂျင်	0.255	0.523	0.527
android	android ဖုန်း	0.663	0.436	0.500
anecdote	သို့ရာတွင်	0.583	0.529	0.500
anemia	သွေးအားနည်းရောဂါ	0.188	0.327	0.310
anemic	သှေးအားနညျးရောဂါရှိသော	0.167	0.279	0.155
anemone	anemone	0.552	0.538	0.327
anesthesia	မေ့ဆေး	0.365	0.216	0.394
anesthesiologist	မေ့ဆေးဆရာဝန်	0.419	0.224	0.526
anesthetic	ထုံဆေး	0.350	0.264	0.482
aneurysm	aneurysm	0.115	0.690	0.536
anew	အသစ်	0.771	0.358	0.385
angel	ကောင်းကင်တမန်	0.906	0.158	0.704
angelic	ကောငျးကငျတ	0.927	0.298	0.668
anger	အမျက်ဒေါသ	0.167	0.865	0.657
angered	ဒေါသထွက်	0.010	0.860	0.547
angermanagement	NO TRANSLATION	0.260	0.632	0.482
angina	angina	0.230	0.630	0.464
angiogram	angiogram	0.347	0.520	0.465
angiography	angiography	0.378	0.536	0.520
angle	ထောင့်	0.541	0.330	0.455
angling	ထောင့်	0.625	0.408	0.500
angora	angora	0.529	0.425	0.405
angriest	angriest	0.094	0.892	0.430
angry	အမျက်ထွက်သော	0.122	0.830	0.604
angrytweet	NO TRANSLATION	0.265	0.644	0.471
angst	angst	0.167	0.888	0.333
anguish	ဒုက္ခဆင်းရဲကို	0.153	0.792	0.265
anguished	ဒုက္ခဆင်းရဲကို	0.135	0.720	0.307
angular	angular	0.449	0.281	0.444
anhydrous	anhydrous	0.456	0.365	0.355
animal	တိရိစ္ဆာန်	0.521	0.510	0.513
animate	နိုးကြားထကြွစေ	0.827	0.755	0.635
animated	ကာတွန်း	0.823	0.676	0.538
animation	ကာတွန်း	0.888	0.750	0.549
animosity	အမျက်ထွက်ခြင်း	0.510	0.724	0.545
animus	animus	0.698	0.676	0.466
ankle	ခြေချင်းဝတ်	0.500	0.274	0.234
anklet	anklet	0.410	0.276	0.302
annals	Annals	0.427	0.610	0.424
annex	အိမ်အဆောင်	0.594	0.350	0.458
annexation	တိုက်ခိုက်သိမ်းပိုက်	0.342	0.500	0.555
annexe	NO TRANSLATION	0.584	0.350	0.392
annihilate	ပပြောကျစေ	0.115	0.918	0.681
annihilated	ဖကျြဆီး	0.080	0.760	0.324
annihilation	ပပြောကျစခွေငျး	0.041	0.800	0.591
anniversary	နျစ်ပတ်လည်နေ့	0.880	0.770	0.723
annotate	မှတ်စာရေးသွင်း	0.592	0.469	0.441
annotation	မှတ်	0.604	0.470	0.619
announce	ကွေညာ	0.694	0.618	0.611
announcement	ကြေညာချက်	0.729	0.491	0.482
announcer	ကွေညာသူ	0.602	0.570	0.732
annoy	စိတ်ဆိုးစေ	0.094	0.765	0.286
annoyance	စိတ်ဆိုးစေခြင်း	0.167	0.718	0.342
annoyed	မကျေမနပ်	0.104	0.783	0.345
annoyin	NO TRANSLATION	0.260	0.573	0.352
annoying	စိတ်ဆိုးစေသော	0.082	0.853	0.348
annoys	စိတ်ဆိုးစေ	0.146	0.778	0.435
annual	နှစ်ပတ်လည်	0.552	0.236	0.500
annuity	နှစ်စဉ်ထောက်ပံ့ကြေး	0.521	0.304	0.527
annul	ပလပ်	0.250	0.448	0.364
annular	annular	0.310	0.385	0.412
annulment	ပလပ်ခြင်း	0.153	0.375	0.447
annulus	annulus	0.458	0.380	0.376
anointed	ဘိသိက်ခံ	0.500	0.368	0.579
anointing	လိမ်း	0.653	0.350	0.547
anomalous	ပုံမှန်မဟုတ်	0.281	0.480	0.423
anomaly	Anomaly	0.188	0.538	0.404
anon	Anon	0.479	0.354	0.298
anonymity	အမည်မဖော်	0.469	0.255	0.430
anonymous	အမည်မသိ	0.396	0.291	0.431
anorexic	လာဖို့	0.160	0.618	0.245
answer	အဖွေ	0.537	0.373	0.661
answerable	တာဝန်ခံရသော	0.708	0.481	0.750
answering	ဖြေဆိုခြင်း	0.684	0.500	0.607
ant	ပရွက်ဆိတ်	0.448	0.216	0.216
antagonism	ဆန့်ကျင်ဘက်ဖြစ်ခြင်း	0.224	0.618	0.524
antagonist	ရန်	0.240	0.615	0.700
antagonistic	ရန်	0.296	0.604	0.565
antagonize	ဆန့်ကျင်ဘက်ပြု	0.143	0.663	0.629
ante	NO TRANSLATION	0.448	0.320	0.417
antecedent	antecedent	0.427	0.551	0.566
antelope	ဒရယ်ငယ်မျိုး	0.542	0.510	0.500
antenna	အွန်တင်းနား	0.521	0.327	0.358
anterior	anterior	0.510	0.245	0.362
anthem	ဓမ္မသီချင်းကြီး	0.780	0.343	0.729
anthill	ပရွက်ဆိတ်တောင်ပို့	0.327	0.578	0.377
anthology	ပေါင်းချုပ်တွေလည်း	0.338	0.406	0.537
anthrax	anthrax	0.188	0.730	0.500
anthropological	anthropological	0.367	0.390	0.490
anthropologist	မနုဿဗေဒပညာရှင်	0.551	0.385	0.725
anthropology	မနုဿဗေဒ	0.490	0.367	0.582
anti	ဆန့်ကျင်	0.365	0.412	0.384
antiaircraft	antiaircraft	0.330	0.622	0.629
antibiotic	ရောဂါတိုက်ဖျက်ရေးဆေးဝါး	0.510	0.373	0.658
antibiotics	ပဋိဇီဝဆေး	0.448	0.406	0.557
antichrist	အန္တိခရစ်	0.082	0.837	0.544
anticipate	တင်ကူးသိမြင်	0.622	0.469	0.667
anticipation	တင်ကူးသိမြင်မှု	0.698	0.539	0.711
anticipatory	anticipatory	0.653	0.551	0.682
antics	လှောင်ပြောင်သရော်မှုတွေ	0.448	0.740	0.236
antidote	အဆိတျပွေဆေး	0.541	0.490	0.629
antifungal	antifungal	0.408	0.412	0.441
antigravity	antigravity	0.430	0.714	0.658
antimony	ခနောက်စိမ်း	0.378	0.398	0.490
antipathy	antipathy	0.198	0.549	0.393
antiquarian	antiquarian	0.500	0.233	0.426
antiquated	ခေတ်နောက်ကျ	0.420	0.392	0.236
antique	ရှေးဟောငျးဖွစျသော	0.634	0.290	0.518
antiques	ရှေးဟောင်းပစ္စည်း	0.540	0.370	0.595
antiquity	ရှေးကာလ	0.385	0.333	0.556
antiseptic	ပုပ်သိုးခြင်းကိုနိုင်သောဆေး	0.438	0.370	0.623
antisocial	antisocial	0.146	0.686	0.391
antithesis	antithesis	0.396	0.412	0.536
antithetical	antithetical	0.271	0.509	0.358
antiviral	ဗိုင်းရပ်စ်	0.459	0.470	0.549
antler	ချို	0.448	0.470	0.500
antsy	antsy	0.449	0.558	0.417
anus	စအို	0.347	0.644	0.350
anvil	ပန်းဘဲပေ	0.380	0.510	0.604
anxiety	စိုးရိမ်ခြင်း	0.146	0.865	0.342
anxietyattack	NO TRANSLATION	0.150	0.925	0.446
anxious	စိုးရိမ်ခြင်းရှိသော	0.281	0.875	0.434
anxiousness	စိုးရိမျတ	0.235	0.814	0.282
anytime	အချိန်မရွေး	0.625	0.461	0.436
aorta	aorta	0.448	0.510	0.542
aortic	aortic	0.436	0.540	0.438
apace	ပွေး	0.536	0.500	0.536
apache	apache	0.687	0.469	0.500
apartment	အခန်း	0.719	0.393	0.580
apartments	တိုက်ခန်းများ	0.704	0.337	0.443
apathetic	ငွ	0.188	0.292	0.333
apathy	စျြလြူရှုမှု	0.184	0.212	0.204
ape	မြောကျ	0.548	0.389	0.336
aperture	ကို aperture	0.612	0.450	0.667
apex	အထွတ်	0.570	0.433	0.418
aphid	aphids	0.388	0.473	0.407
aphrodisiac	aphrodisiac	0.750	0.846	0.667
apiece	အပိုင်းတစ်ခု	0.439	0.259	0.383
aplomb	aplomb	0.500	0.509	0.582
apocalypse	ကမ္ဘာပျက်	0.050	0.867	0.736
apocalyptic	Apocalyptic	0.173	0.880	0.750
apologetic	ထုခတြောငျးပနျသော	0.479	0.461	0.571
apologist	apologist	0.406	0.429	0.526
apologize	ထုခတြောငျးပနျ	0.551	0.378	0.389
apology	ထုခတြောငျးပနျခကျြ	0.571	0.346	0.402
apostasy	အယူဖောက်ပြန်	0.388	0.520	0.517
apostate	ဖောကျပွနျ	0.342	0.500	0.528
apostle	တမန်တော်	0.646	0.347	0.732
apostolic	တမန်တော်	0.592	0.300	0.717
apostrophe	ပေယျာလ	0.469	0.368	0.537
apothecary	Apothecary	0.561	0.328	0.529
appalled	မိန်းမောတွေဝေ	0.194	0.792	0.562
appalling	ကွောကျလနျ့စသော	0.160	0.827	0.415
apparatus	တန်းဆာကိရိယာ	0.375	0.353	0.377
apparel	အဝတ်	0.698	0.435	0.453
apparent	မြင်လွယ်သော	0.473	0.383	0.398
apparently	ထင်ရှားစွာ	0.531	0.410	0.426
apparition	apparition	0.406	0.573	0.636
appeal	အယူခံဝင်	0.663	0.598	0.558
appear	ပေါ်လာ	0.735	0.506	0.567
appearance	အသွင်အပြင်	0.669	0.490	0.534
appease	ကွေအေးစေ	0.633	0.278	0.434
appellant	ပေါ်လွင်	0.327	0.588	0.568
append	append	0.573	0.464	0.453
appendage	appendage	0.229	0.382	0.438
appendectomy	appendectomy	0.177	0.670	0.554
appendicitis	အူအတက်	0.031	0.640	0.347
appendix	နောကျဆကျတှဲ	0.365	0.387	0.425
appetite	အလိုဆန္ဒ	0.704	0.637	0.581
appetizer	appetizer	0.755	0.560	0.406
appetizing	appetizing	0.806	0.657	0.688
applaud	ကောင်းချီးပေး	0.865	0.824	0.464
applause	ကောင်းခြီးပြုခြင်း	0.953	0.857	0.621
apple	ပန်းသီး	0.811	0.300	0.264
apple juice	ပန်းသီးဖျော်ရည်	0.765	0.204	0.294
applejack	applejack	0.604	0.431	0.473
applesauce	applesauce	0.750	0.167	0.291
appliance	စက်ကရိယာ	0.582	0.453	0.538
appliances	ကရိယာ	0.594	0.394	0.567
applicability	သက်ဆိုင်မှု	0.677	0.490	0.741
applicable	သက်ဆိုင်သော	0.469	0.430	0.667
