Word	Ukrainian-uk	Valence	Arousal	Dominance
anchor	якоря	0.520	0.284	0.564
anchorage	кріплення	0.500	0.325	0.639
ancient	стародавній	0.420	0.217	0.439
ancillary	допоміжний	0.449	0.442	0.278
androgen	андроген	0.255	0.523	0.527
android	андроїд	0.663	0.436	0.500
anecdote	анекдот	0.583	0.529	0.500
anemia	анемія	0.188	0.327	0.310
anemic	анемія	0.167	0.279	0.155
anemone	анемон	0.552	0.538	0.327
anesthesia	анестезія	0.365	0.216	0.394
anesthesiologist	анестезіолог	0.419	0.224	0.526
anesthetic	анестетик	0.350	0.264	0.482
aneurysm	аневризма	0.115	0.690	0.536
anew	заново	0.771	0.358	0.385
angel	ангел	0.906	0.158	0.704
angelic	ангельський	0.927	0.298	0.668
anger	гнів	0.167	0.865	0.657
angered	розгнівався	0.010	0.860	0.547
angermanagement	NO TRANSLATION	0.260	0.632	0.482
angina	стенокардія	0.230	0.630	0.464
angiogram	ангіограма	0.347	0.520	0.465
angiography	ангіографія	0.378	0.536	0.520
angle	кут	0.541	0.330	0.455
angling	рибалка	0.625	0.408	0.500
angora	ангора	0.529	0.425	0.405
angriest	гнівний	0.094	0.892	0.430
angry	сердитий	0.122	0.830	0.604
angrytweet	NO TRANSLATION	0.265	0.644	0.471
angst	гнів	0.167	0.888	0.333
anguish	страждання	0.153	0.792	0.265
anguished	страждає	0.135	0.720	0.307
angular	кутовий	0.449	0.281	0.444
anhydrous	безводний	0.456	0.365	0.355
animal	тварина	0.521	0.510	0.513
animate	анімація	0.827	0.755	0.635
animated	анімований	0.823	0.676	0.538
animation	анімація	0.888	0.750	0.549
animosity	ворожнеча	0.510	0.724	0.545
animus	анімус	0.698	0.676	0.466
ankle	щиколотка	0.500	0.274	0.234
anklet	сорочок	0.410	0.276	0.302
annals	літопис	0.427	0.610	0.424
annex	додаток	0.594	0.350	0.458
annexation	анексія	0.342	0.500	0.555
annexe	NO TRANSLATION	0.584	0.350	0.392
annihilate	анігілювати	0.115	0.918	0.681
annihilated	знищений	0.080	0.760	0.324
annihilation	анігіляція	0.041	0.800	0.591
anniversary	річниця	0.880	0.770	0.723
annotate	примітка	0.592	0.469	0.441
annotation	анотація	0.604	0.470	0.619
announce	оголосити	0.694	0.618	0.611
announcement	оголошення	0.729	0.491	0.482
announcer	диктор	0.602	0.570	0.732
annoy	дратувати	0.094	0.765	0.286
annoyance	роздратування	0.167	0.718	0.342
annoyed	дратує	0.104	0.783	0.345
annoyin	NO TRANSLATION	0.260	0.573	0.352
annoying	дратує	0.082	0.853	0.348
annoys	дратує	0.146	0.778	0.435
annual	річний	0.552	0.236	0.500
annuity	ануїтет	0.521	0.304	0.527
annul	анулювати	0.250	0.448	0.364
annular	кільцевий	0.310	0.385	0.412
annulment	анулювання	0.153	0.375	0.447
annulus	кільцевий рядок	0.458	0.380	0.376
anointed	помазаний	0.500	0.368	0.579
anointing	помазання	0.653	0.350	0.547
anomalous	аномальний	0.281	0.480	0.423
anomaly	аномалія	0.188	0.538	0.404
anon	анон	0.479	0.354	0.298
anonymity	анонімність	0.469	0.255	0.430
anonymous	анонімний	0.396	0.291	0.431
anorexic	анорексичний	0.160	0.618	0.245
answer	відповісти	0.537	0.373	0.661
answerable	відповідальний	0.708	0.481	0.750
answering	відповідати	0.684	0.500	0.607
ant	мурашки	0.448	0.216	0.216
antagonism	антагонізм	0.224	0.618	0.524
antagonist	антагоніст	0.240	0.615	0.700
antagonistic	антагоністичний	0.296	0.604	0.565
antagonize	антагонізувати	0.143	0.663	0.629
ante	NO TRANSLATION	0.448	0.320	0.417
antecedent	попередній	0.427	0.551	0.566
antelope	антилоп	0.542	0.510	0.500
antenna	антена	0.521	0.327	0.358
anterior	передній	0.510	0.245	0.362
anthem	гімн	0.780	0.343	0.729
anthill	мурашник	0.327	0.578	0.377
anthology	антологія	0.338	0.406	0.537
anthrax	сибірська виразка	0.188	0.730	0.500
anthropological	антропологічний	0.367	0.390	0.490
anthropologist	антрополог	0.551	0.385	0.725
anthropology	антропологія	0.490	0.367	0.582
anti	анти	0.365	0.412	0.384
antiaircraft	зенітний корабель	0.330	0.622	0.629
antibiotic	антибіотик	0.510	0.373	0.658
antibiotics	антибіотики	0.448	0.406	0.557
antichrist	антихрист	0.082	0.837	0.544
anticipate	чекай	0.622	0.469	0.667
anticipation	очікування	0.698	0.539	0.711
anticipatory	передбачуваний	0.653	0.551	0.682
antics	NO TRANSLATION	0.448	0.740	0.236
antidote	протиотрута	0.541	0.490	0.629
antifungal	протигрибковий	0.408	0.412	0.441
antigravity	антигравітація	0.430	0.714	0.658
antimony	сурма	0.378	0.398	0.490
antipathy	антипатія	0.198	0.549	0.393
antiquarian	антикварний	0.500	0.233	0.426
antiquated	застаріли	0.420	0.392	0.236
antique	антикварні	0.634	0.290	0.518
antiques	антикваріат	0.540	0.370	0.595
antiquity	давнину	0.385	0.333	0.556
antiseptic	антисептик	0.438	0.370	0.623
antisocial	антисоціальний	0.146	0.686	0.391
antithesis	антитеза	0.396	0.412	0.536
antithetical	антитетичний	0.271	0.509	0.358
antiviral	противірусний	0.459	0.470	0.549
antler	рога	0.448	0.470	0.500
antsy	антиса	0.449	0.558	0.417
anus	анус	0.347	0.644	0.350
anvil	ковадло	0.380	0.510	0.604
anxiety	тривога	0.146	0.865	0.342
anxietyattack	NO TRANSLATION	0.150	0.925	0.446
anxious	тривога	0.281	0.875	0.434
anxiousness	тривога	0.235	0.814	0.282
anytime	в будь-який час	0.625	0.461	0.436
aorta	аорта	0.448	0.510	0.542
aortic	аорта	0.436	0.540	0.438
apace	стрімко	0.536	0.500	0.536
apache	apache	0.687	0.469	0.500
apartment	квартира	0.719	0.393	0.580
apartments	квартири	0.704	0.337	0.443
apathetic	апатичний	0.188	0.292	0.333
apathy	апатія	0.184	0.212	0.204
ape	мавпа	0.548	0.389	0.336
aperture	діафрагма	0.612	0.450	0.667
apex	вершина	0.570	0.433	0.418
aphid	тлей	0.388	0.473	0.407
aphrodisiac	афродизіак	0.750	0.846	0.667
apiece	шматок	0.439	0.259	0.383
aplomb	апломат	0.500	0.509	0.582
apocalypse	апокаліпсис	0.050	0.867	0.736
apocalyptic	апокаліптичний	0.173	0.880	0.750
apologetic	апологетичний	0.479	0.461	0.571
apologist	апологест	0.406	0.429	0.526
apologize	вибачитися	0.551	0.378	0.389
apology	вибачення	0.571	0.346	0.402
apostasy	відступництво	0.388	0.520	0.517
apostate	апостат	0.342	0.500	0.528
apostle	апостол	0.646	0.347	0.732
apostolic	апостольський	0.592	0.300	0.717
apostrophe	апостроф	0.469	0.368	0.537
apothecary	аптекар	0.561	0.328	0.529
appalled	засмучений	0.194	0.792	0.562
appalling	жахливий	0.160	0.827	0.415
apparatus	апарат	0.375	0.353	0.377
apparel	одяг	0.698	0.435	0.453
apparent	очевидний	0.473	0.383	0.398
apparently	мабуть	0.531	0.410	0.426
apparition	поява	0.406	0.573	0.636
appeal	звернення	0.663	0.598	0.558
appear	з'являтися	0.735	0.506	0.567
appearance	зовнішній вигляд	0.669	0.490	0.534
appease	заспокоїтись	0.633	0.278	0.434
appellant	апелянт	0.327	0.588	0.568
append	додати	0.573	0.464	0.453
appendage	придаток	0.229	0.382	0.438
appendectomy	апендектомія	0.177	0.670	0.554
appendicitis	апендицит	0.031	0.640	0.347
appendix	додаток	0.365	0.387	0.425
appetite	апетит	0.704	0.637	0.581
appetizer	закуска	0.755	0.560	0.406
appetizing	апетитна	0.806	0.657	0.688
applaud	аплодувати	0.865	0.824	0.464
applause	оплески	0.953	0.857	0.621
apple	яблуко	0.811	0.300	0.264
apple juice	яблучний сік	0.765	0.204	0.294
applejack	яблуневий яблуко	0.604	0.431	0.473
applesauce	яблуко	0.750	0.167	0.291
appliance	прилад	0.582	0.453	0.538
appliances	прилади	0.594	0.394	0.567
applicability	застосовність	0.677	0.490	0.741
applicable	застосовні	0.469	0.430	0.667
applicant	заявник	0.612	0.558	0.688
application	заявка	0.646	0.445	0.726
apply	застосовувати	0.612	0.321	0.667
appoint	призначити	0.565	0.330	0.509
appointment	призначення	0.688	0.594	0.547
appointments	зустрічі	0.745	0.677	0.625
apportion	розподіл	0.677	0.490	0.638
apportionment	розподіл	0.552	0.481	0.453
appraisal	оцінка	0.417	0.667	0.682
appraise	оцінити	0.677	0.490	0.696
appreciable	помітний	0.873	0.491	0.778
appreciate	цінуємо	0.885	0.422	0.741
appreciated	оцінили	0.910	0.434	0.779
appreciates	цінує	0.765	0.500	0.656
appreciation	вдячність	0.917	0.529	0.588
appreciative	вдячний	0.857	0.380	0.654
apprehend	затримай	0.521	0.624	0.696
apprehension	занепокоєння	0.385	0.720	0.454
apprehensive	занепокоєння	0.406	0.592	0.431
apprentice	учень	0.615	0.413	0.452
apprenticeship	учнівство	0.812	0.482	0.643
approach	підхід	0.612	0.392	0.610
approaching	наближається	0.740	0.557	0.491
approbate	NO TRANSLATION	0.646	0.590	0.860
approbation	апробація	0.792	0.529	0.774
appropriate	відповідний	0.833	0.368	0.759
appropriation	асигнування	0.510	0.632	0.717
approval	затвердження	0.854	0.460	0.889
approve	схвалювати	0.875	0.548	0.741
approved	затверджений	0.833	0.349	0.698
approvement	затвердження	0.880	0.625	0.780
approving	схвалюючи	0.917	0.583	0.773
approximate	приблизний	0.551	0.560	0.520
approximately	приблизно	0.622	0.396	0.538
approximating	наближення	0.583	0.615	0.471
approximation	наближення	0.582	0.402	0.593
appurtenances	приналежності	0.573	0.412	0.547
apricot	абрикос	0.708	0.320	0.278
apron	фартух	0.582	0.208	0.245
apt	apt	0.582	0.418	0.382
aptitude	атрибут	0.750	0.471	0.746
aqua	аква	0.656	0.292	0.359
aquamarine	аквамарин	0.729	0.306	0.413
aquarium	акваріум	0.663	0.327	0.393
aquatic	водний	0.677	0.510	0.463
aqueduct	акведук	0.551	0.411	0.534
aqueous	водний	0.429	0.270	0.310
arable	ріллі	0.510	0.350	0.465
arbiter	арбітр	0.561	0.537	0.814
arbitrary	довільне	0.281	0.702	0.686
arbitrate	арбітраж	0.470	0.620	0.682
arbitration	арбітраж	0.587	0.602	0.670
arbitrator	арбітр	0.385	0.448	0.795
arbor	альтанка	0.583	0.490	0.591
arc	дуг	0.552	0.388	0.396
arcade	аркада	0.676	0.521	0.502
arcane	аркана	0.500	0.490	0.637
arch	арка	0.500	0.354	0.468
archaeological	археологічні	0.740	0.441	0.660
archaeologist	археолог	0.552	0.451	0.706
archaeology	археологія	0.596	0.358	0.691
archaic	архаїчний	0.271	0.327	0.332
archangel	архангел	0.837	0.500	0.708
archbishop	архієпископ	0.622	0.280	0.776
archdiocese	архієпархія	0.400	0.321	0.704
archduke	эрцгерцог	0.458	0.413	0.634
arched	арочний	0.582	0.403	0.398
archer	лучник	0.573	0.622	0.661
archery	стрільба з лука	0.594	0.604	0.589
archetype	архетип	0.448	0.520	0.569
archipelago	архіпелаг	0.745	0.370	0.592
architect	архітектор	0.776	0.442	0.836
architectural	архітектурний	0.729	0.390	0.670
architecture	архітектура	0.820	0.390	0.694
archive	архів	0.438	0.294	0.527
arctic	арктичний	0.615	0.352	0.546
ardent	гарячий	0.694	0.873	0.722
ardor	пекло	0.500	0.780	0.538
arduous	важкий	0.344	0.783	0.605
area	площа	0.490	0.306	0.464
arena	арена	0.510	0.235	0.404
areola	ареола	0.417	0.396	0.381
areyoukidding	NO TRANSLATION	0.429	0.633	0.400
areyoukiddingme	NO TRANSLATION	0.365	0.635	0.375
argent	NO TRANSLATION	0.594	0.418	0.472
argh	арг	0.260	0.538	0.328
arghh	NO TRANSLATION	0.292	0.536	0.397
arghhhh	NO TRANSLATION	0.250	0.618	0.324
argue	стверджуй	0.093	0.798	0.525
argument	аргумент	0.510	0.464	0.698
argumentation	аргументація	0.479	0.549	0.760
argumentative	аргументальний	0.450	0.531	0.679
arguments	аргументи	0.541	0.602	0.657
arid	засушливий	0.323	0.333	0.379
arise	виникати	0.750	0.582	0.725
aristocracy	аристократія	0.688	0.549	0.842
aristocrat	аристократ	0.583	0.413	0.811
aristocratic	аристократичний	0.449	0.519	0.676
arithmetic	арифметика	0.453	0.460	0.634
ark	ковчег	0.396	0.427	0.543
arm	рука	0.552	0.285	0.469
armada	армада	0.408	0.740	0.868
armament	озброєння	0.198	0.764	0.810
armaments	озброєння	0.192	0.839	0.830
armature	арматура	0.510	0.558	0.755
armchair	крісло	0.646	0.164	0.339
armed	озброєний	0.188	0.750	0.808
armor	броня	0.469	0.625	0.784
armored	броньовані	0.469	0.509	0.861
armory	озброєння	0.448	0.663	0.800
armpit	пахв	0.283	0.439	0.250
arms	зброю	0.464	0.395	0.483
army	армія	0.417	0.759	0.902
aroma	аромат	0.823	0.235	0.442
aromatherapy	ароматерапія	0.847	0.220	0.473
arousal	збудження	0.791	0.943	0.731
arouse	викликати	0.740	0.491	0.580
aroused	викликав	0.708	0.952	0.667
arraignment	виправдання	0.406	0.837	0.534
arrange	організувати	0.740	0.490	0.571
arranged	влаштований	0.698	0.531	0.728
arrangement	організація	0.625	0.382	0.683
array	масив	0.521	0.396	0.568
arrears	заборгованість	0.286	0.485	0.302
arrest	арешт	0.146	0.951	0.500
arrhythmia	аритмія	0.265	0.706	0.356
arrival	прибуття	0.678	0.510	0.474
arrive	прибути	0.837	0.406	0.585
arrogance	зарозумілість	0.143	0.750	0.620
arrogant	зарозумілий	0.115	0.755	0.580
arrow	стрілка	0.439	0.390	0.454
arsehole	arsehole	0.276	0.598	0.433
arseholes	арсезонки	0.188	0.545	0.351
arsenal	арсенал	0.365	0.741	0.752
arsenic	миш'як	0.281	0.472	0.447
arson	підпал	0.133	0.904	0.567
arsonist	підпалювач	0.348	0.840	0.500
art	мистецтво	0.812	0.360	0.603
arterial	артеріальний	0.396	0.510	0.583
artery	артерія	0.396	0.580	0.537
artful	хитрість	0.771	0.608	0.778
arthritis	артрит	0.110	0.518	0.345
arthropod	членистоногий	0.344	0.464	0.434
artichoke	артишок	0.583	0.218	0.287
article	стаття	0.594	0.280	0.481
articles	статті	0.552	0.324	0.565
articulate	сформулювати	0.677	0.462	0.618
articulation	артикуляція	0.479	0.480	0.591
artifact	артефакт	0.510	0.500	0.566
artifice	артіфікація	0.316	0.696	0.482
artificial	штучний	0.306	0.385	0.351
artillery	артилерія	0.350	0.912	0.794
artisan	ремісник	0.781	0.330	0.411
artist	художник	0.802	0.442	0.732
artiste	NO TRANSLATION	0.844	0.512	0.565
artistic	художні	0.802	0.646	0.632
