Word	Sinhala (Sinhalese)-si	Valence	Arousal	Dominance
allot	ෙවන්ෙද්සිය යුතුය	0.622	0.481	0.616
allotment	ඉඩමක් ඇත	0.600	0.390	0.640
allow	ඉඩ දෙන්න	0.698	0.429	0.538
allowable	අවසර ලබාදී ඇත	0.698	0.500	0.561
allowance	දීමනාව	0.673	0.382	0.591
allowed	අවසර ලැබුණි	0.730	0.360	0.655
alloy	ලෝහයකි	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ආකර්ෂණය	0.804	0.585	0.686
alluring	ආකර්ෂණීයයි	0.837	0.745	0.843
allusion	ඇටසින්	0.440	0.308	0.462
alluvial	දිය ඇල්ලිය	0.323	0.490	0.491
ally	සගයා	0.792	0.320	0.688
almanac	ඇල්මානා	0.688	0.190	0.412
almighty	සර්ව බලධාරී	0.938	0.874	0.958
almond	ආමන්ඩ්	0.698	0.183	0.314
aloft	රඟපායි	0.771	0.373	0.700
aloha	ආලෝහා	0.698	0.440	0.441
alone	තනිවම	0.333	0.167	0.216
alongside	එකට	0.458	0.333	0.347
aloof	බෙහෙවින් දුරස් විය	0.189	0.423	0.302
aloud	ශබ්ද නගා	0.458	0.713	0.750
alpha	ඇල්ෆා	0.708	0.340	0.755
alphabet	හෝඩියේ	0.562	0.204	0.672
alphabetical	අකාරාදී පිළිවෙලට	0.537	0.296	0.535
alpine	ඇල්පයින්	0.594	0.337	0.474
alreadyyyyy	දැනටමත්	0.592	0.717	0.351
altar	පූජාසනය	0.724	0.387	0.635
altar boy	පූජනීය දරුවා	0.434	0.206	0.350
alter	වෙනස් කරන්න	0.333	0.694	0.654
alteration	වෙනස් කිරීම	0.167	0.798	0.609
altercation	කැරැල්ල	0.170	0.806	0.500
altered	වෙනස් කර ඇත	0.255	0.765	0.500
alternate	විකල්ප වේ	0.625	0.363	0.589
alternating	විකල්පයක්	0.480	0.494	0.542
alternative	විකල්ප	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	උන්නතාංශය	0.708	0.482	0.736
alto	ඇල්ටෝ	0.656	0.404	0.730
altogether	සම්පූර්ණයෙන්ම	0.833	0.324	0.644
aluminum	ඇලුමිනියම්	0.449	0.280	0.434
alumnus	ඇමැතිකම	0.633	0.368	0.422
alveolar	ඇල්ටෙයොලර්	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	අමල්ගම්	0.438	0.333	0.510
amalgamation	ඒකාබද්ධ කිරීම	0.406	0.470	0.531
amaretto	අමරෙටෝ	0.543	0.551	0.375
amass	ගොඩක් තියෙනවා	0.552	0.465	0.465
amateur	ආධුනික	0.469	0.500	0.409
amaze	පුදුමයි	0.896	0.843	0.783
amazed	පුදුම වුණා	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	පුදුමයි	0.750	0.800	0.639
amazing	අරුම පුදුම	0.906	0.837	0.849
amazingly	පුදුම සහගතයි	0.918	0.765	0.920
ambassador	තානාපති	0.651	0.529	0.917
amber	ඇම්බර්	0.635	0.308	0.369
ambience	වාතාවරණය	0.735	0.356	0.426
ambient	සංවේදීයි	0.625	0.360	0.582
ambiguity	අසමගිය	0.164	0.460	0.370
ambiguous	දෙගිඩියා සහගත ය	0.265	0.462	0.358
ambit	බලපායි	0.479	0.380	0.386
ambition	අභිලාෂය යි	0.510	0.804	0.661
ambitious	අභිලාෂකාමී ය	0.484	0.821	0.717
ambivalent	දෙගිඩියාවෙනි	0.510	0.404	0.482
ambrosia	තෘෂ්ණාවෙනි	0.571	0.452	0.480
ambulance	ගිලන් රථය	0.500	0.750	0.609
ambush	සැඟවී සිටින්න	0.281	0.830	0.500
ameliorate	ලිහිල් කරන්න	0.770	0.548	0.747
amen	ආමෙන්	0.781	0.182	0.542
amenable	හොඳයි	0.448	0.410	0.406
amend	සංශෝධනය කරන්න	0.688	0.406	0.658
amendment	සංශෝධනය	0.531	0.459	0.606
amends	හිතයි	0.640	0.366	0.517
amenity	හොඳයි	0.750	0.327	0.574
amethyst	ඇමතීස්ට්	0.622	0.406	0.517
amiable	මිත්රශීලීයි	0.847	0.290	0.483
amicable	එකඟයි	0.875	0.330	0.507
amid	මධ්යයේය	0.510	0.340	0.256
amidst	මධ්යයේය	0.480	0.330	0.316
amino	ඇමයිනෝ	0.551	0.402	0.433
ammo	ආම්පන්නය	0.323	0.765	0.621
ammonia	ඇමෝනියා	0.292	0.587	0.409
ammonium	ඇමෝනියම්	0.354	0.396	0.368
ammunition	උණ්ඩ	0.338	0.635	0.667
amnesia	ආනේසියා	0.296	0.330	0.308
amnesty	ඇම්නෙස්ටිං	0.551	0.451	0.814
amorous	ආදරය	0.844	0.670	0.636
amorphous	අස්ඵටියකි	0.327	0.402	0.349
amortization	ක්රමක්ෂය	0.592	0.491	0.522
amount	ප්රමාණය	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	වළල්ල	0.480	0.448	0.483
amphetamines	ඇම්පෙටමින්	0.133	0.667	0.526
amphibian	උභයජීවීන්	0.427	0.357	0.474
amphibious	උභතෝකෝටික	0.479	0.346	0.445
amphitheater	රංග ශාලාව	0.653	0.480	0.545
ample	ප්රමාණවත්ය	0.744	0.349	0.719
amplification	විස්තාරණය කිරීම	0.690	0.677	0.810
amplify	වැඩි වේ	0.677	0.735	0.827
amplitude	විස්තාරය	0.694	0.439	0.692
amply	හොඳයි	0.781	0.431	0.766
amputate	වට්ටෝරුවක්	0.092	0.660	0.509
amputation	කපා ඉවත් කිරීම	0.100	0.755	0.483
amuck	ඇලෙක්සැන්ඩර්	0.385	0.602	0.321
amulet	ආමුදිතය	0.781	0.260	0.630
amuse	විනෝද වෙන්න	0.812	0.684	0.664
amused	විනෝදජනකයි	0.942	0.847	0.596
amusement	විනෝදය	0.929	0.837	0.803
amusing	විනෝදජනකයි	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	ඇනකොන්ඩා	0.146	0.830	0.540
anaesthesia	නිර්වින්දනය	0.350	0.217	0.473
anaesthetic	නිර්වින්දකයක්	0.449	0.268	0.509
anagram	ඇන්ග්රෑම්	0.552	0.327	0.449
anal	විශ්ලේෂකයෝ	0.333	0.798	0.334
analgesic	දිලීර නාශකයකි	0.417	0.321	0.441
analogous	සමානය	0.531	0.270	0.500
analogue	ඇනෙලොග්	0.570	0.320	0.446
analogy	සංඥාවකි	0.510	0.367	0.509
analysis	විශ්ලේෂණය	0.729	0.448	0.705
analyst	විශ්ලේෂකයෙකි	0.604	0.415	0.755
analytic	විශ්ලේෂී වේ	0.665	0.521	0.634
analytical	විශ්ලේෂණාත්මක වේ	0.625	0.324	0.800
analyze	විශ්ලේෂණය කරයි	0.667	0.462	0.710
analyzer	විශ්ෙල්ෂකය	0.625	0.556	0.854
anaphylactic	අනාකලබලකාරී වේ	0.378	0.588	0.500
anarchism	අරාජිකය	0.125	0.804	0.623
anarchist	අරාජකවාදී ය	0.204	0.700	0.759
anarchy	අරාජිකය	0.146	0.755	0.620
anastomosis	ඇනස්ටෝමෝසිස් වේ	0.375	0.470	0.490
anathema	නිර්වාණය	0.286	0.490	0.519
anatomic	යාන්ත්රනයකි	0.562	0.442	0.546
anatomy	ව්යුහය	0.562	0.390	0.571
ancestor	මුතුන් මිත්තෙකු විය	0.592	0.388	0.594
ancestral	මුතුන්මිත්තන්	0.640	0.481	0.750
ancestry	මුතුන්මිත්තන්	0.708	0.519	0.717
anchor	නැංගුරම	0.520	0.284	0.564
anchorage	නැංගුරමක්	0.500	0.325	0.639
ancient	පුරාණ	0.420	0.217	0.439
ancillary	උපකාරී වේ	0.449	0.442	0.278
androgen	ඇන්ඩ්රොයිඩ්	0.255	0.523	0.527
android	ඇන්ඩ්රොයිඩ්	0.663	0.436	0.500
anecdote	ඇනෙක්ඩෝට්	0.583	0.529	0.500
anemia	රක්තහීනතාවය	0.188	0.327	0.310
anemic	රක්ත හීනතාවයි	0.167	0.279	0.155
anemone	අනේනය	0.552	0.538	0.327
anesthesia	නිර්වින්දනය	0.365	0.216	0.394
anesthesiologist	නිර්වින්දන වෛද්යවරියක්	0.419	0.224	0.526
anesthetic	නිර්වින්දකයක්	0.350	0.264	0.482
aneurysm	ඇනහිරේ	0.115	0.690	0.536
anew	අලුත්	0.771	0.358	0.385
angel	දේවදූතයෙක්	0.906	0.158	0.704
angelic	දේවදූතයෙක්	0.927	0.298	0.668
anger	කෝපය	0.167	0.865	0.657
angered	කෝපයට පත් විය	0.010	0.860	0.547
angermanagement	NO TRANSLATION	0.260	0.632	0.482
angina	ඇන්ඩිනය	0.230	0.630	0.464
angiogram	බද්ධ	0.347	0.520	0.465
angiography	පුරාවිද්යාවකි	0.378	0.536	0.520
angle	කෝණයක්	0.541	0.330	0.455
angling	පැදවීම	0.625	0.408	0.500
angora	කෝමාරිකා	0.529	0.425	0.405
angriest	කෝපයට පත්විය	0.094	0.892	0.430
angry	තරහ ගියා	0.122	0.830	0.604
angrytweet	NO TRANSLATION	0.265	0.644	0.471
angst	කෝපය	0.167	0.888	0.333
anguish	වේදනාව	0.153	0.792	0.265
anguished	කණගාටුයි	0.135	0.720	0.307
angular	කෝණික	0.449	0.281	0.444
anhydrous	නිර්ජලීය	0.456	0.365	0.355
animal	සත්ව	0.521	0.510	0.513
animate	සජීවීකරණය	0.827	0.755	0.635
animated	සජීවිකරණය කර ඇත	0.823	0.676	0.538
animation	සජීවීකරණය	0.888	0.750	0.549
animosity	එදිරිවාදුකම්	0.510	0.724	0.545
animus	ඇනිමස්	0.698	0.676	0.466
ankle	වළල්ලේ	0.500	0.274	0.234
anklet	ඇන්කෙට්	0.410	0.276	0.302
annals	පුරාවිද්යාඥයන්	0.427	0.610	0.424
annex	ඇමුණුම	0.594	0.350	0.458
annexation	ඈඳා ගැනීම	0.342	0.500	0.555
annexe	NO TRANSLATION	0.584	0.350	0.392
annihilate	සමූලඝාතනය	0.115	0.918	0.681
annihilated	විනාශවී තිබේ	0.080	0.760	0.324
annihilation	සමූල ඝාතනය	0.041	0.800	0.591
anniversary	සංවත්සරයයි	0.880	0.770	0.723
annotate	සටහන් කරන්න	0.592	0.469	0.441
annotation	සංඥාව	0.604	0.470	0.619
announce	නිවේදනය කරයි	0.694	0.618	0.611
announcement	නිවේදනයයි	0.729	0.491	0.482
announcer	නිවේදකයා	0.602	0.570	0.732
annoy	අපූරුය	0.094	0.765	0.286
annoyance	නොසතුට	0.167	0.718	0.342
annoyed	කේන්ති ගියා	0.104	0.783	0.345
annoyin	NO TRANSLATION	0.260	0.573	0.352
annoying	අමාරුයි	0.082	0.853	0.348
annoys	සංජානනයයි	0.146	0.778	0.435
annual	වාර්ෂික	0.552	0.236	0.500
annuity	ගෙවීම	0.521	0.304	0.527
annul	අවලංගු කරන්න	0.250	0.448	0.364
annular	වළලනු ලැබේ	0.310	0.385	0.412
annulment	නෙරපා හැරීම	0.153	0.375	0.447
annulus	අවකලනය	0.458	0.380	0.376
anointed	අභිෂේක ලත් අය	0.500	0.368	0.579
anointing	අභිෂේක ලත්	0.653	0.350	0.547
anomalous	අසාධාරණයි	0.281	0.480	0.423
anomaly	විෂමතාවයි	0.188	0.538	0.404
anon	ඇනොන්	0.479	0.354	0.298
anonymity	නිර්නාමිකයි	0.469	0.255	0.430
anonymous	නිර්නාමිකයි	0.396	0.291	0.431
anorexic	ඇනරෙක්සිස්	0.160	0.618	0.245
answer	පිළිතුර	0.537	0.373	0.661
answerable	උත්තර දෙනවා	0.708	0.481	0.750
answering	උත්තර දෙන්න	0.684	0.500	0.607
ant	කූඹියා	0.448	0.216	0.216
antagonism	එදිරිවාදිකමකි	0.224	0.618	0.524
antagonist	ප්රතිවිරෝධකයෙකි	0.240	0.615	0.700
antagonistic	ප්රතිවිරුද්ධ	0.296	0.604	0.565
antagonize	ප්රතික්ෂේපය	0.143	0.663	0.629
ante	NO TRANSLATION	0.448	0.320	0.417
antecedent	පූර්විකාව	0.427	0.551	0.566
antelope	උණ්ඩය	0.542	0.510	0.500
antenna	ඇන්ටනා	0.521	0.327	0.358
anterior	පිටත	0.510	0.245	0.362
anthem	ගීය	0.780	0.343	0.729
anthill	ඇන්ටලික්	0.327	0.578	0.377
anthology	පුරාවෘත්තය	0.338	0.406	0.537
anthrax	ඇන්ත්රැක්ස්	0.188	0.730	0.500
anthropological	මානව විද්යාව	0.367	0.390	0.490
anthropologist	මානවවේදියෙක්	0.551	0.385	0.725
anthropology	මානව විද්යාව	0.490	0.367	0.582
anti	විරෝධී	0.365	0.412	0.384
antiaircraft	ඩයනයයි	0.330	0.622	0.629
antibiotic	ප්රතිජීවකය	0.510	0.373	0.658
antibiotics	ප්රතිජීවක ඖෂධ	0.448	0.406	0.557
antichrist	අන්තක්රිස්තුස්	0.082	0.837	0.544
anticipate	අපේක්ෂා කරනවා	0.622	0.469	0.667
anticipation	අපේක්ෂාවයි	0.698	0.539	0.711
anticipatory	පූර්වාපේලනයක්	0.653	0.551	0.682
antics	සිරිත් විරිත්	0.448	0.740	0.236
antidote	විෂබීජ නාශකයකි	0.541	0.490	0.629
antifungal	ප්රතිජීවක	0.408	0.412	0.441
antigravity	නරකයි	0.430	0.714	0.658
antimony	ඇන්ටිමනි	0.378	0.398	0.490
antipathy	උදාසීනත්වය	0.198	0.549	0.393
antiquarian	පුරාවිද්යාඥයෙකි	0.500	0.233	0.426
antiquated	පුරාවස්තුවකි	0.420	0.392	0.236
antique	පැරණි	0.634	0.290	0.518
antiques	පුරානවස්තු	0.540	0.370	0.595
antiquity	පුරාවස්තුවකි	0.385	0.333	0.556
antiseptic	විෂබීජ නාශකයකි	0.438	0.370	0.623
antisocial	සමාජ විරෝධී	0.146	0.686	0.391
antithesis	ප්රතිප්රහාරය	0.396	0.412	0.536
antithetical	ඒකාකාරී විය	0.271	0.509	0.358
antiviral	ප්රති වෛරසයකි	0.459	0.470	0.549
antler	උණ්ඩ	0.448	0.470	0.500
antsy	සුන්දරත්වය	0.449	0.558	0.417
anus	ගුදය	0.347	0.644	0.350
anvil	ඇණගහන්න	0.380	0.510	0.604
anxiety	කනස්සල්ල	0.146	0.865	0.342
anxietyattack	NO TRANSLATION	0.150	0.925	0.446
anxious	කරදරකාරි	0.281	0.875	0.434
anxiousness	කනස්සලුකම	0.235	0.814	0.282
anytime	ඕනෑම අවස්ථාවක	0.625	0.461	0.436
aorta	aorta	0.448	0.510	0.542
aortic	අත්යවශ්යය	0.436	0.540	0.438
apace	ක්ෂණිකව	0.536	0.500	0.536
apache	apache	0.687	0.469	0.500
apartment	මහල් නිවාස	0.719	0.393	0.580
apartments	මහල් නිවාස	0.704	0.337	0.443
apathetic	අප්රකටය	0.188	0.292	0.333
apathy	උදාසීනත්වය	0.184	0.212	0.204
ape	අම්මා	0.548	0.389	0.336
aperture	විවරය	0.612	0.450	0.667
apex	අග්ර	0.570	0.433	0.418
aphid	කුඩිත්තන්ගේ	0.388	0.473	0.407
aphrodisiac	ඇෆ්රොඩයිසයිස්	0.750	0.846	0.667
apiece	කොටසක්	0.439	0.259	0.383
aplomb	ගංවතුර	0.500	0.509	0.582
apocalypse	කථාව	0.050	0.867	0.736
apocalyptic	අඳුනකි	0.173	0.880	0.750
apologetic	කනගාටුදායකයි	0.479	0.461	0.571
apologist	ක්ෂමාලාපකයෙක්	0.406	0.429	0.526
apologize	සමාව ඉල්ලන්න	0.551	0.378	0.389
apology	සමාව ඉල්ලයි	0.571	0.346	0.402
apostasy	ඇදහිල්ලට විරුද්ධව	0.388	0.520	0.517
apostate	ඇදහිල්ල අත්හළ	0.342	0.500	0.528
apostle	ප්රේරිතය	0.646	0.347	0.732
apostolic	අපෝස්තලිකයි	0.592	0.300	0.717
apostrophe	නිශ්පාදනයයි	0.469	0.368	0.537
apothecary	ෂොප් එකක්	0.561	0.328	0.529
appalled	පුදුමයට පත් විය	0.194	0.792	0.562
appalling	භයානක ය	0.160	0.827	0.415
apparatus	උපකරණ	0.375	0.353	0.377
apparel	ඇඟලුම්	0.698	0.435	0.453
apparent	පැහැදිලි ය	0.473	0.383	0.398
apparently	පෙනෙන්නට තිබේ	0.531	0.410	0.426
apparition	පෙනේ	0.406	0.573	0.636
appeal	ආයාචනයකි	0.663	0.598	0.558
appear	පෙනේ	0.735	0.506	0.567
appearance	පෙනුම	0.669	0.490	0.534
appease	සතුටුයි	0.633	0.278	0.434
appellant	අභියාචකයා	0.327	0.588	0.568
append	එකතු කරන්න	0.573	0.464	0.453
appendage	උපාංගය	0.229	0.382	0.438
appendectomy	ඇටෙන්සෙමි	0.177	0.670	0.554
appendicitis	ඇපෙන්ඩිසයිටිස්	0.031	0.640	0.347
appendix	උපග්රන්ථය	0.365	0.387	0.425
appetite	රුචියක් නැහැ	0.704	0.637	0.581
appetizer	ආහාරයට ගන්න	0.755	0.560	0.406
